cluster_id,topic_name,topic_description,keywords,cluster_size_chunks,cluster_weight_total,classifier_model,final_prompt_sha256,final_prompt_path
0,District-based use compatibility across zoning categories,"Matrix showing which land-use categories are compatible, restricted, or prohibited across districts and overlays (including APZ/Ldn identifiers and references to design guidelines).","['use compatibility', 'district matrix', 'overlay', 'APZ', 'COMPATIBLE USE DISTRICT 9', 'NLR guidelines', 'prohibited uses', 'compatible with restrictions', 'design requirements', 'land-use categories']",30,1.131054131054131,openai:gpt-5-nano,36d2d8f2280981a928a5f11db1f8895247dc4c43cdf2a58ea43ce251f5864e39,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
1,Public notices and legal advertisements,"A mix of non-zoning public notices and legal advertisements including adoption petitions, liquor-license hearings, public auctions, and affidavits, published in newspapers.","['adoption', 'license application', 'beer permit', 'auction', 'public notice', 'affidavit publication', 'court notice']",33,3.2646620072858457,openai:gpt-5-nano,084c60d2b77e98f1c74716a986c67e7b625c90bc5e3995981369d85e72bd020e,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
10,Floodplain term definitions and map references in ordinance,"This cluster defines flood-related terms and references to regulatory maps (FHBM, FIRM) used for floodplain management within the ordinance, establishing how the floodplain is identified and interpreted.","['floodplain', 'floodway', 'base_flood', 'FIRM', 'FHBM', 'AO zone', 'Area of Shallow Flooding', 'floodplain overlay']",52,3.1694759396613628,openai:gpt-5-nano,143e1645d5d8cf347df682b8c61214f6455bd85beb591ae4db2cc814bb09ea9f,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
100,"Public hearing notices for variances, special uses, and amendments","A collection of notices and filings relating to zoning actions, including variances, special land uses, and amendments or adoptions of city ordinances and code provisions, with planning commission/public hearing context.","['variances', 'special land use permit', 'amendment', 'public hearing', 'ordinance', 'planning commission', 'zoning code', 'setbacks', 'front yard', 'rear yard', 'districts', 'notices']",225,17.744563460067113,openai:gpt-5-nano,b26071d1879c105f118469472ebe49565d530d345eb38f5893d1abbf85605bb6,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
101,Ordinance Rezoning of District Map with Conditions,"Zoning action changing parcel districts via district map amendments, with owner-binding conditions and frontage dedication requirements.","['rezoning', 'district map', 'zoning ordinance', 'city council', 'B-2', 'M-1', 'R-5', 'B-1', 'R-2', 'R-4', 'conditions', 'frontage', 'drive design', 'site plan']",118,8.880399313989964,openai:gpt-5-nano,12603d50ddd83512df650d97c1f2c715a62637c9a1f506823f9875d1b574ab2c,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
102,Annexation and district actions in public notices,"A mixed cluster containing public notices and ordinances related to annexation and district assignments (SF-2), with references to specific ordinance numbers, alongside unrelated non-zoning notices.","['annexation', 'SF-2', 'Zoning Ordinance No. 1710', 'Ordinance No. 2004-58', 'city council', 'public hearing notice', 'notice', 'Paris, Texas']",38,6.546825396825402,openai:gpt-5-nano,d41e59dd4e41687c606b047088e002b7ab9dcddf0cfe144189a5b43530f83552,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
103,Adoption of town zoning provisions in Canandaigua,"Public legal notices announcing the enactment of Canandaigua's zoning ordinance provisions, including the enacting clause, with no substantive district changes shown.","['Canandaigua', 'town zoning', 'enacting clause', 'legal notice', 'adoption', 'ordinance provisions', 'zoning']",92,5.0552782237936436,openai:gpt-5-nano,2e95369ef622ebf1dedc136111b9f01b747be292c8c2b31d5b4ac1ce9064afb0,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
104,Residential district dimensional standards and permitted uses,"Compilation of zoning text governing residential and mixed districts (R-1, R-3, B-1, H-1), including lot area, frontage, and setback requirements, permitted uses, signs, parking, landscaping, site plans, and procedural actions for adoption and subdivision approvals.","['R-1 District', 'R-3 District', 'B-1 District', 'H-1 District', 'Residence R-2 District', 'Residence R-3 District', 'signs', 'setbacks', 'lot_area', 'lot_width', 'frontage', 'parking', 'site_plan', 'permitted_uses', 'special_exception', 'subdivision_plat', 'public_hearing_notice', 'ordinance', 'adopted', 'Planned Subdivision Plats']",104,5.13223844018814,openai:gpt-5-nano,75e198eff4b35fdc4f77f9164abf708e31695ffb2f79fbf105d4b850ea71b6fc,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
105,Petitions for foreclosure and publication notices,"Non-zoning legal notices about mortgage foreclosures, including petitions, judgments in rem, and publication notices on described Iowa properties.","['foreclosure', 'petition', 'mortgage', 'notice', 'publication', 'original notice', 'judgment in rem', 'Des Moines County', 'Linn County', 'Iowa', 'property description', 'defendants']",47,3.6514874014874024,openai:gpt-5-nano,5a63a12e9dc97adf8f5b9ff5efefd5bb45f66c6c8eaae2a2ccb7a27f4d24a7ac,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
106,Probate notices and executor appointments in estate administration,"Public notices in district court probate proceedings announcing the probate of wills, appointment of executors, and creditor claims with filing and publication deadlines.","['probate', 'will', 'executor', 'estate', 'creditors', 'notice', 'publication', 'deadline', 'court', 'appointment']",190,14.635343593864727,openai:gpt-5-nano,d5c685bab24fdce5db157f8542995f60fcb9bb004ce33076a683eb2f9bbe66e6,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
