cluster_id,topic_name,topic_description,keywords,cluster_size_chunks,cluster_weight_total,classifier_model,final_prompt_sha256,final_prompt_path
0,Consolidated bank balance sheet reporting to regulators,"Excerpts show banks’ assets, liabilities, and reserves reported in regulatory condition reports (call reports), i.e., balance-sheet disclosures.","['banking', 'assets', 'liabilities', 'consolidated report of condition', 'call report', 'regulatory disclosure', 'financial statements']",90,7.320066482029055,openai:gpt-5-nano,7fb9c2ece4cee136882010ebdb3b4a1a239a050f61081036180218ffc948d588,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
1,Public hearing variance notice before zoning board of appeals,"A mixed-content cluster with a zoning variance application before a zoning board of appeals, including public notice and hearing for a rear-yard setback, plus unrelated non-zoning items.","['variance', 'rear yard setback', 'ZBA', 'public notice', 'hearing', 'Chapter 33', 'Libertyville', 'petition']",1050,84.72197933098056,openai:gpt-5-nano,0ba3dd425d9ed54f943b105bf2d1fc2000ebd85abfe2b844b579d6872af39324,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
10,Public notices establishing electoral precincts and polling places,Legal notices and a city council resolution that divide a city into election precincts and designate polling locations; includes published notices and listed polling places.,"['legal notice', 'precincts', 'polling places', 'city council', 'resolution', 'public notice', 'election districts', 'precinct boundaries']",36,2.2382234666441825,openai:gpt-5-nano,0460883416a3d900a2e575a14852bdda1432484049323f971ff98bf1133a57d0,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
100,Cable franchise regulation and public hearing notices,"Procedural and substantive regulation of cable television franchises, including ordinance amendments, requirements for equipment and deposits, and notices for public hearings.","['cable television', 'franchise', 'ordinance amendment', 'set-top converters', 'deposit', 'public hearing', 'territory extension', 'FCC standards', 'publication']",109,5.61308538442186,openai:gpt-5-nano,46e23e660f065da52dbc0309bb190d12d9faed8ebe6634d85547ade8dbe0ee74,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
101,Public bidding for street improvement contracts,"Administrative procurement notices advertising sealed bids for city street improvement projects, with plan access and bid conditions.","['bid notice', 'street improvement', 'sealed bids', 'City of Monroe', 'plans on file', 'bidding documents', 'right to reject bids', 'asphalt paving', 'curb and gutter', 'deadline']",42,2.944528331072561,openai:gpt-5-nano,5697f4db5e3f5060607911b52f86eaf61b43bb16c0b421273c79364b339f2c08,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
102,Establish airport hazard zoning districts and height limits,"Legal text creating an airport hazard zoning regime around airports, defining zones, height restrictions, and enforcement, with a dedicated board of appeals and amendments to the zoning code.","['airport hazard zoning', 'overlay zones', 'Compatible Use Zone', 'height limits', 'zoning map', 'enforcement', 'board of appeals', 'amendment', 'ordinance']",52,2.5167681264650668,openai:gpt-5-nano,12f28529da42b743c56d5eeba6569e77941b2f19198a0c24d6738bd296635f3b,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
103,Definitions and Permits in Zoning Code Provisions,"Cluster containing definitional clauses, permit references, and administrative notices in a city zoning code. It covers definitions of lodging and dwelling terms, the concept of improvement location permits, hazardous-area designations with public notices, and hotel unit size/quantity requirements.","['definitions', 'dwelling', 'hotel', 'attic', 'basement', 'improvement location permit', 'hazardous fire area', 'public notice', 'zoning officer', 'units', 'square feet']",486,25.859724756633646,openai:gpt-5-nano,070f59b488735f248520029f2a581dcd426b058918ab5de2421bf921d8a29c8b,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
104,Notice of rezoning and subdivision plat approval,"Procedural notices for zoning map changes and subdivision plats, including staff recommendations and public hearing announcements.","['rezoning', 'plats', 'public hearing', 'planning staff', 'subdivision plat', 'zoning map']",248,15.15539192231914,openai:gpt-5-nano,a70a77e383193e2b2d6b930034901be8240d50c05f4a96f84d63285da8c78a6d,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
105,Public debt issuance and bond sale by school district,"This cluster documents the process of authorizing, advertising, and issuing General Obligation Bonds by a school district, including public notices, board resolutions, bond sale, and sinking fund provisions.","['general obligation bonds', 'bond issuance', 'non-electoral debt', 'advertised ordinance/summary', 'bond sale', 'sinking fund', 'public notice', 'debt statement']",39,2.1899182759628313,openai:gpt-5-nano,bcec69286911b591e54a9b3a589b3c79944cd98dcd42326efc6b301e42295f24,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
106,Adding Community-Entrance Zone and amending zoning map,Procedural ordinance adding a new zoning district called Community-Entrance Zone and updating the zoning map to include it; accompanies an amendment to the zoning ordinance and reflects district creation alongside existing zones.,"['Community-Entrance Zone', 'rezoning', 'zoning map', 'new zoning district', 'ordinance amendment', 'City Council', 'districts', 'R-1', 'R-2', 'C-E', 'R&D1']",44,4.603217697335343,openai:gpt-5-nano,854ea658d09171420ffe8bd8ab50bb4ad427393d6672373f1007481bdc4bcee3,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
