cluster_id,cluster_size,topic_name,keywords
253,1761,Public hearing notice to review subdivision plat under ordinance,"['public hearing', 'subdivision plat', 'Ordinance No. 288', 'Planning Commission', 'preliminary plat', 'subdivision regulations', 'public notice']"
17,1642,Public hearings to rezone parcels and reclassify districts,"['rezoning', 'district reclassification', 'annexation', 'public hearing', 'zoning map', 'zoning district', 'petition']"
86,836,Adoption of ordinance to reclassify land use to Public and Institutional,"['land use designation', 'Public and Institutional', 'ordinance', 'city council', 'General Plan', 'Municipal Code', 'rezoning', 'map change', 'parcel']"
3,816,Non-zoning local briefs: sports results and notices,"['sports results', 'golf', 'AP', 'local briefs', 'airline crash', 'money leaders', 'notices', 'club announcements']"
228,607,Rezoning to R-3 district for nursing home use,"['rezoning', 'R-3', 'nursing home', 'Logan', 'M-2', 'B-1', 'planning commission', 'city council', 'public hearings', 'zoning map']"
44,520,Rezoning actions and setback adjustment notices,"['rezoning', 'setback adjustment', 'amendment to zoning text', 'zoning map amendment', 'land use district change', 'public hearing', 'notice', 'application for adjustment', 'fictitious name filing']"
258,514,Property rezoning to R-2 and boundary designation under master plan ordinance,"['rezoning', 'R-2', 'Madison County', 'master plan ordinance', 'zoning map', 'boundaries', 'classification', 'ordinance']"
189,492,Rezoning map amendments and density adjustments by city council,"['rezoning', 'zoning map amendment', 'R-4', 'R-5', 'C-2', 'R-2', 'central business district', 'density', 'lot_area', 'dwelling_units', 'public hearing', 'ordinance']"
285,481,Rezoning actions and ordinance amendments with hearings,"['rezoning', 'zone changes', 'amendments to zoning ordinance', 'public hearing notices', 'conditional use permits', 'special permits', 'Board of Adjustment', 'Planning and Zoning Commission']"
101,478,Public hearing notices to rezone parcels from SF-2 to GR,"['rezoning', 'public hearing', 'Zoning Ordinance 1710', 'SF-2', 'GR', 'parcel', 'City Council']"
184,452,Text amendments to zoning code approved by council,"['text amendments', 'zoning code', 'council action', 'twelve changes', 'amend_text', 'ordinance']"
271,440,Rezoning map amendments and annexation actions,"['rezoning', 'annexation', 'zoning map', 'amendment', 'ordinance', 'townhouse definitions', 'R-5', 'density', 'Algonquin and Busse roads', 'Mount Prospect', 'public notices', 'village board']"
51,440,Resolution to rezone annexed area onto city zoning map,"['rezoning', 'annexation', 'resolution', 'zoning map amendment', 'public notice']"
128,429,"Public probate notices for will, executor, and creditors","['probate', 'will', 'executor', 'creditors', 'notice', 'district court', 'estate', 'public notice']"
25,422,Public hearing and county board action on zoning text amendments,"['amendment', 'zoning', 'text amendment', 'public hearing', 'county board', 'resolution', 'application']"
