cluster_id,cluster_size,topic_name,keywords
316,1608,Narrowing dwelling-unit definition to limit density in PR district,"['dwelling unit', 'density', 'Planned Residential district', 'Planning Commission', 'Board of Zoning Appeals', 'zoning ordinance', 'definitions', 'kitchen', 'density per acre', 'PR district']"
251,1242,Variance hearing for impervious surface and yard setbacks,"['variance', 'impervious surface', 'front yard setback', 'side yard setback', 'deck construction', 'R-1', 'R-3', 'zoning hearing board']"
1,1050,Public hearing variance notice before zoning board of appeals,"['variance', 'rear yard setback', 'ZBA', 'public notice', 'hearing', 'Chapter 33', 'Libertyville', 'petition']"
31,882,Public hearing to amend zoning provisions and planning actions,"['public hearing', 'amendments', 'zoning provisions', 'planning commission', 'notice of hearing', 'legal notice', 'amend_text']"
165,874,Rezoning actions and public hearing notices in mixed legal ads,"['rezoning', 'zoning map', 'district reclassification', 'public hearing', 'zoning amendment', 'lot_area', 'permitted_uses', 'C-Commercial District', 'R-2', 'R-3-A']"
315,872,Residential district amendments adding conditional uses (model homes),"['amendment', 'R-1A', 'R-1R', 'conditional uses', 'model homes', 'Plan Commission', 'distance provisions', 'residential districts', 'zoning text change']"
109,643,Rezoning actions and zoning text amendments with hearings,"['rezoning', 'text amendment', 'zoning map', 'public hearing', 'ordinance', 'district classification', 'planning commission', 'zoning board of appeals']"
277,606,Rezoning map changes and text amendments in local zoning codes,"['rezoning', 'zoning map', 'text amendment', 'zoning ordinance amendment', 'district change', 'city council', 'planning commission']"
220,581,Establishment and regulation of Planned Development Districts and development plans,"['Planned Development District', 'Planned Area Development', 'Specific Development Plan', 'master plan', 'setbacks', 'height', 'dwelling units', 'lot_area per dwelling unit', 'density', 'public hearings', 'petition', 'application', 'open space covenant']"
163,571,Mobile home park district development and density standards,"['mobile home district', 'mobile home park district', 'density', 'lot size', 'site development', 'licensing', 'planning board', 'permit', 'license', 'parking', 'setbacks', 'height', 'planning approval']"
123,561,Variance hearing notices for lot coverage in R-1 district,"['variance', 'lot coverage', 'R-1 district', 'carport', 'single-family dwelling', 'public hearing', 'notice', 'application']"
275,557,Adoption of Planned Residential Development ordinance with density limits,"['PRD', 'planned residential development', 'density', 'dwelling_units', 'open_space', 'school_site', 'adoption', 'ordinance', 'housing_mix', 'county_supervisors']"
308,536,Public hearing to rezone property from R-1 to C-2,"['rezoning', 'district map change', 'R-1', 'C-2', 'zoning hearing', 'petition', 'city clerk', 'neighborhood shopping', 'one-family dwelling']"
103,486,Definitions and Permits in Zoning Code Provisions,"['definitions', 'dwelling', 'hotel', 'attic', 'basement', 'improvement location permit', 'hazardous fire area', 'public notice', 'zoning officer', 'units', 'square feet']"
327,481,Public hearing on establishing new zoning districts and uses,"['zoning', 'districts', 'permitted uses', 'public hearing', 'planning commission', 'city council', 'zoning map', 'amendment', 'ordinance', 'flood plain', 'special district', 'comprehensive plan', 'hearings', 'maps']"
