cluster_id,topic_name,topic_description,keywords,cluster_size_chunks,cluster_weight_total,classifier_model,final_prompt_sha256,final_prompt_path
0,Court-ordered publication notices to compel appearance,"Procedural civil court notices directing defendants to appear and be served by publication, issued as orders and notices across multiple cases.","['publication notice', 'appearance', 'absent defendant', 'service by publication', 'court order', 'civil case', 'notice by publication', 'plead']",39,1.4165400488071784,openai:gpt-5-nano,62641e701f32dbff1a967eaf51010115adc24dec10120bad36162e7905efc56d,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
1,Non-zoning notices and features (horoscopes and ads),"Cluster contains horoscope columns, employment/classified advertisements, and general notices; no zoning or land-use content present.","['horoscope', 'astrology', 'classifieds', 'employment', 'public notices', 'ads']",78,8.601405697845323,openai:gpt-5-nano,59a3edf442c8152fa6b09d9f0f5d057f393319b52b2e2710917d971417670ebd,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
10,Rezoning actions and amendments to permitted uses and district rules,"Cluster contains city/county notices and ordinances involving rezoning map changes, text amendments to the zoning code (definitions and permitted uses), and related public hearing processes.","['rezoning', 'permitted uses', 'definitions', 'public hearing', 'zoning ordinance', 'text amendment', 'district map', 'conditional uses', 'site plan']",30,4.019841269841269,openai:gpt-5-nano,0a1a3be53e829d0bbca5e87d375de7208b985244164851d097f997e1796befa1,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
100,"Amendment to permitted uses across R-1, R-2, C-O, C-1 zones","Textual amendment changing which uses are permitted in multiple zoning districts, updating the permitted-use provisions within the zoning code.","['text amendment', 'permitted uses', 'R-1', 'R-2', 'R-3', 'R-4', 'C-O', 'C-1', 'zones', 'ordinance', 'uses table']",240,14.90797875651861,openai:gpt-5-nano,00eb41a2b03ceef2978979b61a69c713fc2ac8e2afc9dabba2a06bda265ce876,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
101,Public hearing notices to rezone parcels from SF-2 to GR,"Notices announcing public hearings and petitions to amend zoning classifications on properties, changing district from SF-2 to GR under the city’s zoning ordinance; primarily map-based rezoning announcements with council involvement.","['rezoning', 'public hearing', 'Zoning Ordinance 1710', 'SF-2', 'GR', 'parcel', 'City Council']",478,76.2303964009848,openai:gpt-5-nano,97cf9febcb323e84d3909a982ab14db7ba0043e306dfee5a2177bb95a977dfba,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
102,Publication date stamps with no zoning content,Cluster consists of date citations and archival metadata from newspaper clippings; no substantive zoning/land-use text appears.,"['date', 'publication date', 'newspaper clipping', 'archive', 'issue_id', 'chunk_id']",35,2.157829190759018,openai:gpt-5-nano,d851f2aa1be07c38c2b98feaa84437a4b7303c5de593730e6aaaa9956a27a058,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
103,Fragmented newspaper notices with no identifiable regulatory action,A cluster of clipped excerpts that do not reveal a clear zoning or land-use regulatory mechanism; substance insufficient to classify as zoning action.,"['public notice', 'fragment', 'newspaper clipping', 'unclear regulatory content', 'non-zoning']",110,7.334498961549604,openai:gpt-5-nano,f1c74d832e8e9a7d05a350e4ec58cf6adcbc0fb9f85b05f7c04cca6e8046549a,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
104,Attestation by City Clerk and official notices for municipal proceedings,Non-zoning clerical attestations and publication-related notices associated with municipal commissions and records.,"['City Clerk', 'City Secretary', 'attestation', 'commission', 'publication', 'notices', 'municipal']",180,11.700860357470926,openai:gpt-5-nano,915f8e2965c46be38c3fb0d99bfbb77448e5318452c1b446aceebc17fa3576d3,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
105,City procurement and financial disbursement records,"Ledger-style municipal expenditures showing vendor payments, easement costs, and consulting services; contains no zoning actions.","['easement', 'contracting', 'payments', 'ledger', 'city clerk', 'bills', 'vendor payments', 'public works']",33,1.6040738404892396,openai:gpt-5-nano,c1e7350054aec1a13f8911d4976403f363ac5b4e2878b8b5ade64886233c7b80,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
106,Public disbursements and vendor payments ledger,"Entries showing city expenditures, vendor payments, and payroll-like disbursements compiled in a financial ledger.","['payments', 'vendor', 'city treasurer', 'expenditures', 'public records', 'ledger']",128,6.456715722478631,openai:gpt-5-nano,aed244dd05aacf23890cad6f2d2f8a09fd3f20d693f083bb4df07bacfe9444ea,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
107,"Rezoning actions, variances, and conditional use hearings","Public notices and hearings about zoning map changes, variances, and conditional-use permits affecting specific districts and setback rules, drawn from historical planning and zoning notices.","['planning commission', 'public hearing', 'variance', 'conditional use permit', 'rezoning', 'advertising sign', 'setbacks', 'R-3', 'Homaker Park', 'Ordinance 327', 'notice']",225,19.891092877641405,openai:gpt-5-nano,ad3b0314d0125b06a725ce76d4c186a85f18244b757d1f502cb4a9d2cf0a95e3,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
108,Public bidding notices for public works contracts,"Notices and procedures for inviting bids, distributing plans, and awarding public works contracts, including rights to revise specs and license requirements.","['bids', 'public works', 'notice', 'specifications', 'plans', 'district', 'contract']",52,4.289830377829471,openai:gpt-5-nano,39c57714fbb4ef3acfeca9dcbce55d21557ff362e5b279c98aa145915004457e,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
109,Rezoning map amendments and district reclassification hearings,"Legal notices and ordinances changing zoning classifications and reclassifications, including petitions, hearings, and map amendments with associated notices.","['rezoning', 'zoning map', 'district reclassification', 'public notice', 'hearing', 'ordinance', 'petition']",71,6.487262492409553,openai:gpt-5-nano,414129ac8d2f383e0628fa0cd5909e13515fe110105b39e4a2becfc85a437eca,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
11,Rezoning from C-1 to C-2 and tentative subdivision map approval,"Procedural actions on rezoning and subdivision within Humboldt County, including a map rezone from C-1 to C-2, adoption of ordinance amendments, and the approval of a tentative subdivision map with conditions; involvement of planning commission and board of supervisors is shown.","['rezoning', 'C-1', 'C-2', 'tentative map', 'subdivision', 'public hearing', 'planning commission', 'board of supervisors', 'ordinance amendment', 'Moonstone Heights']",37,2.1486671223513323,openai:gpt-5-nano,d91f318ccfb673d7868e4464bd042c08ff582ac55f7cd98ec9d07839bf89c73a,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
110,Public hearing to correct front-yard setback in the R-1 district,"Procedural notice about amending the front-yard setback in the R-1 Single Family Residence district, including a corrected minimum front yard depth and a public hearing before the Planning Commission under Biloxi's 1967 zoning framework.","['front yard setback', 'R-1 district', 'front yard depth', 'Planning Commission', 'public hearing', 'Ordinance No. 1083', 'Pass Christian Road', '1967 zoning framework']",64,4.307080419580423,openai:gpt-5-nano,458482b330e240c81eacc7ae45cf655df41fd6fff40c07d02cc96d42aa4fc0f6,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
111,Rezoning requests and district map amendments in Linn County,"Excerpts show petitions to reclassify zoning districts and to amend the zoning district map, including advisory recommendations, public hearings, and formal adoption actions.","['rezoning', 'district map amendment', 'Linn County', 'Board of Supervisors', 'Zoning Commission', 'A-Agricultural', 'Agricultural/Residential A-R9A', 'PUD', 'staff report', 'public hearing']",49,3.826365879786597,openai:gpt-5-nano,315b50840f7453616680086fc0859a1124da2708b54d04e75b607864a76009e8,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
112,Rezoning map change with minimum lot standards and hearings,"Procedural and substantive zoning actions: changing a district map (rezoning) from agricultural to agricultural/residential designation, establishing minimum lot size and related dimensional requirements for single-family lots, and coordinating public hearings and notices through the county planning/board system.","['rezoning', 'district map amendment', 'minimum lot size', 'lot width', 'lot depth', 'single-family', 'public hearing', 'Board of Adjustment', 'county commission', 'planning commission']",36,2.8370528001410364,openai:gpt-5-nano,7a4b72a1bc2fa2428ecc17f1ec68cb60ee8ff4c1867abcb6155382362dd44678,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
