cluster_id,cluster_size,topic_name,keywords
84,2790,Public legal notices and real estate sale advertisements,"['legal notices', ""sheriff's sale"", 'ordinance', 'notice', 'advertisements', 'legals', 'council']"
119,1638,Definitions and variance rules in city zoning code,"['definitions', 'variance', 'districts', 'accessory_structures', 'nonconforming_uses', 'alley', 'apartment', 'yard', 'height', 'ordinance']"
9,813,"Mobile home park regulations: site plans, setbacks, permits","['mobile home park', 'site plan', 'setbacks', 'parking', 'permits', 'planning commission', 'zoning district']"
82,698,Parking space standards and loading requirements,"['parking spaces', 'off-street parking', 'loading spaces', 'parking plan', 'commercial zone', 'zoning administrator', 'ordinance', 'parking requirements', 'use-based standards']"
127,551,Nonconforming use and structure continuation regulations,"['nonconforming', 'uses', 'structures', 'continuation', 'enlargement', 'cessation', 'board of appeals', 'district regulations']"
36,543,Housing health standards and occupancy licensing enforcement,"['dwelling health', 'sanitation', 'occupancy licensing', 'inspections', 'unsafe buildings', 'demolition', 'nuisance']"
19,533,Rezoning map changes with public hearing to reclassify parcels,"['rezoning', 'public hearing', 'zoning map amendment', 'district reclassification', 'R-3', 'B-2', 'R-1', 'B-1', 'notice', 'planning commission', 'board of adjustment', 'ordinance']"
86,503,"District sign regulations: size, placement, and illumination standards","['signs', 'districts', 'sign area', 'height', 'projection', 'ground signs', 'temporary signs', 'advertising signs', 'Residential Districts', 'C1 Zone', 'C2 Zone', 'R-1']"
176,468,Non-zoning public notices and international news briefs,"['public notices', 'legal notices', 'appointment notices', 'taxpayer notices', 'budget notices', 'newspaper notices', 'international news', 'atomic energy talks', 'Berlin crisis', 'Congo Katanga', 'United Nations', 'advertisements']"
167,416,Public bidding and hearing notices for contracts and probate,"['public notice', 'bid opening', 'sealed proposals', 'notice of hearing', 'probate filing', 'court order', 'local government']"
109,400,"Adoption of zoning map, plat, and building-permit rules","['zoning', 'map adoption', 'plat', 'building permits', 'planning and zoning', 'emergency declaration', 'penalties', 'annexation']"
116,375,Real estate classifieds and property transfer notices,"['real estate', 'classified ads', 'auction', 'sale', 'rental', 'property transfer', 'mortgage', 'advertisement']"
135,370,Building permit submissions with site plans and occupancy reviews,"['building permit', 'plot plan', 'site plan', 'occupancy permit', 'certificate of occupancy', 'temporary occupancy', 'zoning administrator', 'parking', 'height', 'bulk', 'lot area', 'land use']"
178,363,Residential district dimensional standards and permitted uses,"['R-1', 'R-2', 'R-3', 'R-4', 'R-S District', 'B District', 'permitted uses', 'density', 'lot_area', 'setbacks', 'yards', 'front yard', 'building_height', 'signs', 'parking', 'dwelling_units']"
7,309,Public hearing for conditional use permit in R-1 zone,"['public hearing notice', 'conditional use permit', 'board of adjustment', 'R-1', 'One-family Dwelling', 'Bakersfield', 'Kern County', 'zoning adjustment']"
