cluster_id,cluster_weight,cluster_size,topic_name,keywords
253,179.74178751554126,1761,Public hearing notice to review subdivision plat under ordinance,"['public hearing', 'subdivision plat', 'Ordinance No. 288', 'Planning Commission', 'preliminary plat', 'subdivision regulations', 'public notice']"
17,154.467008034074,1642,Public hearings to rezone parcels and reclassify districts,"['rezoning', 'district reclassification', 'annexation', 'public hearing', 'zoning map', 'zoning district', 'petition']"
101,76.2303964009848,478,Public hearing notices to rezone parcels from SF-2 to GR,"['rezoning', 'public hearing', 'Zoning Ordinance 1710', 'SF-2', 'GR', 'parcel', 'City Council']"
228,74.98172777514925,607,Rezoning to R-3 district for nursing home use,"['rezoning', 'R-3', 'nursing home', 'Logan', 'M-2', 'B-1', 'planning commission', 'city council', 'public hearings', 'zoning map']"
3,73.7475390672026,816,Non-zoning local briefs: sports results and notices,"['sports results', 'golf', 'AP', 'local briefs', 'airline crash', 'money leaders', 'notices', 'club announcements']"
285,70.6374276866927,481,Rezoning actions and ordinance amendments with hearings,"['rezoning', 'zone changes', 'amendments to zoning ordinance', 'public hearing notices', 'conditional use permits', 'special permits', 'Board of Adjustment', 'Planning and Zoning Commission']"
271,66.98346194867956,440,Rezoning map amendments and annexation actions,"['rezoning', 'annexation', 'zoning map', 'amendment', 'ordinance', 'townhouse definitions', 'R-5', 'density', 'Algonquin and Busse roads', 'Mount Prospect', 'public notices', 'village board']"
189,64.55117331498937,492,Rezoning map amendments and density adjustments by city council,"['rezoning', 'zoning map amendment', 'R-4', 'R-5', 'C-2', 'R-2', 'central business district', 'density', 'lot_area', 'dwelling_units', 'public hearing', 'ordinance']"
184,59.75267938397706,452,Text amendments to zoning code approved by council,"['text amendments', 'zoning code', 'council action', 'twelve changes', 'amend_text', 'ordinance']"
86,48.94928194203179,836,Adoption of ordinance to reclassify land use to Public and Institutional,"['land use designation', 'Public and Institutional', 'ordinance', 'city council', 'General Plan', 'Municipal Code', 'rezoning', 'map change', 'parcel']"
152,48.83236746345455,371,Rezoning petition and ordinance amendment notices,"['rezoning', 'zoning map', 'district change', 'neighborhood business', 'Class D', 'D-2', 'public hearing', 'ordinance', 'case Z-86-0413(A)', 'owner petition']"
44,46.1416474306773,520,Rezoning actions and setback adjustment notices,"['rezoning', 'setback adjustment', 'amendment to zoning text', 'zoning map amendment', 'land use district change', 'public hearing', 'notice', 'application for adjustment', 'fictitious name filing']"
238,41.69602986503892,321,Lake-in-subdivision proposal discussed by plan and park commissions,"['lake', 'subdivision', 'plan commission', 'park commission', 'development proposal', 'joint meeting']"
51,41.04733819127096,440,Resolution to rezone annexed area onto city zoning map,"['rezoning', 'annexation', 'resolution', 'zoning map amendment', 'public notice']"
258,40.34975343184994,514,Property rezoning to R-2 and boundary designation under master plan ordinance,"['rezoning', 'R-2', 'Madison County', 'master plan ordinance', 'zoning map', 'boundaries', 'classification', 'ordinance']"
