cluster_id,cluster_weight,cluster_size,topic_name,keywords
84,228.57991633843656,2790,Public legal notices and real estate sale advertisements,"['legal notices', ""sheriff's sale"", 'ordinance', 'notice', 'advertisements', 'legals', 'council']"
119,72.92929302609302,1638,Definitions and variance rules in city zoning code,"['definitions', 'variance', 'districts', 'accessory_structures', 'nonconforming_uses', 'alley', 'apartment', 'yard', 'height', 'ordinance']"
109,58.31175458795042,400,"Adoption of zoning map, plat, and building-permit rules","['zoning', 'map adoption', 'plat', 'building permits', 'planning and zoning', 'emergency declaration', 'penalties', 'annexation']"
19,53.78560425954452,533,Rezoning map changes with public hearing to reclassify parcels,"['rezoning', 'public hearing', 'zoning map amendment', 'district reclassification', 'R-3', 'B-2', 'R-1', 'B-1', 'notice', 'planning commission', 'board of adjustment', 'ordinance']"
9,51.64218311479049,813,"Mobile home park regulations: site plans, setbacks, permits","['mobile home park', 'site plan', 'setbacks', 'parking', 'permits', 'planning commission', 'zoning district']"
176,45.74019342920778,468,Non-zoning public notices and international news briefs,"['public notices', 'legal notices', 'appointment notices', 'taxpayer notices', 'budget notices', 'newspaper notices', 'international news', 'atomic energy talks', 'Berlin crisis', 'Congo Katanga', 'United Nations', 'advertisements']"
167,36.1673197937547,416,Public bidding and hearing notices for contracts and probate,"['public notice', 'bid opening', 'sealed proposals', 'notice of hearing', 'probate filing', 'court order', 'local government']"
116,33.89533326906766,375,Real estate classifieds and property transfer notices,"['real estate', 'classified ads', 'auction', 'sale', 'rental', 'property transfer', 'mortgage', 'advertisement']"
82,28.537792385696097,698,Parking space standards and loading requirements,"['parking spaces', 'off-street parking', 'loading spaces', 'parking plan', 'commercial zone', 'zoning administrator', 'ordinance', 'parking requirements', 'use-based standards']"
36,27.80740522401242,543,Housing health standards and occupancy licensing enforcement,"['dwelling health', 'sanitation', 'occupancy licensing', 'inspections', 'unsafe buildings', 'demolition', 'nuisance']"
110,27.61380400645107,261,Rezoning and district map amendments with plats and historic districts,"['rezoning', 'district map amendment', 'final plat', 'replat', 'Planned Residential Development', 'RD-1', 'C-3', 'PRD-2', 'historic_district', 'parking', 'permitted_uses', 'notice', 'hearing']"
7,26.017807983434604,309,Public hearing for conditional use permit in R-1 zone,"['public hearing notice', 'conditional use permit', 'board of adjustment', 'R-1', 'One-family Dwelling', 'Bakersfield', 'Kern County', 'zoning adjustment']"
150,24.89713974389071,196,Adoption of zoning map with district classifications and standards,"['zoning', 'district classifications', 'zoning map', 'height limits', 'lot area', 'yards', 'density', 'nonconforming uses', 'public hearing', 'map amendments', 'grace period', 'city council']"
127,22.86013384263338,551,Nonconforming use and structure continuation regulations,"['nonconforming', 'uses', 'structures', 'continuation', 'enlargement', 'cessation', 'board of appeals', 'district regulations']"
86,22.29415783099478,503,"District sign regulations: size, placement, and illumination standards","['signs', 'districts', 'sign area', 'height', 'projection', 'ground signs', 'temporary signs', 'advertising signs', 'Residential Districts', 'C1 Zone', 'C2 Zone', 'R-1']"
